,0
0,3258.988
1,3237.501
2,3386.749
3,3317.07
4,1021.445
5,1021.445
6,1021.445
7,3219.927
8,3223.491
9,3218.412
10,3204.942
11,3216.991
12,1021.445
13,3227.154
14,3210.694
15,3208.199
16,3203.413
17,1021.445
18,1021.445
19,3193.504
20,3215.467
21,3202.814
22,3210.873
23,1021.445
24,3221.177
25,3218.611
26,3243.145
27,3198.96
28,3199.838
29,3193.504
30,3215.467
31,3222.11
32,3208.648
33,1021.445
34,3815.304
35,3165.815
36,1021.445
37,3421.95
38,3168.317
39,792.352
40,3283.553
41,3277.713
42,1021.445
43,3282.603
44,1021.445
45,1021.445
46,3270.423
47,3272.036
48,1021.445
49,3277.67
50,3281.879
51,3273.093
52,3292.024
53,3285.822
54,3289.16
55,3293.473
56,1021.445
57,1021.445
58,1021.445
59,3591.245
60,1021.445
61,3173.162
62,3727.452
63,3720.674
64,3206.77
65,3266.739
66,3332.784
67,3277.375
68,3265.758
69,3499.019
70,3115.979
71,3119.435
72,3211.187
73,3248.407
74,3304.723
75,3252.671
76,3918.924
77,3288.755
78,3282.819
79,3290.963
80,1021.445
81,3311.665
82,3288.166
83,1021.445
84,3032.117
85,3070.863
86,3478.591
