,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
21,"112 Wells Ave E, Langenburg, SK S0A 2A0, Canada",50.8414941,-101.7039417,"50.8414941,-101.7039417",RANGE_INTERPOLATED,Ei8xMTIgV2VsbHMgQXZlIEUsIExhbmdlbmJ1cmcsIFNLIFMwQSAyQTAsIENhbmFkYSIaEhgKFAoSCY3ewkVY4-NSEfjjj8CN2chDEHA,street_address,S0A 2A0,"112 Wells Avenue East Langenburg, SK",1,OK
22,"109 Ominica St W, Moose Jaw, SK S6H 4P4, Canada",50.393171,-105.5378975,"50.393171,-105.5378975",ROOFTOP,ChIJcf5RySXcG1MRnIK5nb_s5J8,street_address,S6H 4P4,"109 Ominica St W Moose Jaw, SK",1,OK
23,"710g Main St N, Moose Jaw, SK S6H 3K5, Canada",50.3964242,-105.5362426,"50.3964242,-105.5362426",ROOFTOP,ChIJ9wUu9S_cG1MRV6ZAsxk2Vhk,street_address,S6H 3K5,"710 G Main Street North Moose Jaw, SK",1,OK
24,"506 Ellice St, Moosomin, SK S0G 3N0, Canada",50.1483481,-101.6675278,"50.1483481,-101.6675278",RANGE_INTERPOLATED,Eis1MDYgRWxsaWNlIFN0LCBNb29zb21pbiwgU0sgUzBHIDNOMCwgQ2FuYWRhIhsSGQoUChIJIQT8Mhof4VIRbWySJklrvSIQ-gM,street_address,S0G 3N0,"506 Ellice Street Moosomin, SK",1,OK
25,"2995 2 Ave W, Prince Albert, SK S6V 5V5, Canada",53.1864309,-105.7626095,"53.1864309,-105.7626095",GEOMETRIC_CENTER,ChIJedZetu16AVMR1-0cYtgZv6Y,premise,S6V 5V5,"127 – 2995 2nd Avenue West Prince Albert, SK",1,OK
26,"5 10 Ave E, Prince Albert, SK S6V 0G4, Canada",53.2100123,-105.7219036,"53.2100123,-105.7219036",RANGE_INTERPOLATED,Ei01IDEwIEF2ZSBFLCBQcmluY2UgQWxiZXJ0LCBTSyBTNlYgMEc0LCBDYW5hZGEiGhIYChQKEglBZa3pDHoBUxHRM4FoG9_i1RAF,street_address,S6V 0G4,"5 – 1499 10th Avenue East Prince Albert, SK",1,OK
27,"1802 9th Ave N, Regina, SK S4R 7T4, Canada",50.4847695,-104.607314,"50.4847695,-104.607314",ROOFTOP,ChIJQy0kZh4fHFMRzBq_gclt5ik,street_address,S4R 7T4,"1802 – 9th Avenue North Regina, SK",1,OK
28,"1440 Broadway Ave, Regina, SK S4P 1E2, Canada",50.4381356,-104.601021,"50.4381356,-104.601021",ROOFTOP,ChIJuR7lojoeHFMRYDpleF4pbbU,premise,S4P 1E2,"1440 Broadway Avenue Regina, SK",1,OK
29,"1660 Pasqua St, Regina, SK S4T 4L9, Canada",50.4530723,-104.6411572,"50.4530723,-104.6411572",ROOFTOP,ChIJebmX2pMfHFMR7Ef-tcOliQI,street_address,S4T 4L9,"1660 Pasqua Street Regina, SK",1,OK
30,"2A-3850 Green Falls Dr, Regina, SK S4V 3M1, Canada",50.4166345,-104.517762,"50.4166345,-104.517762",ROOFTOP,EjIyQS0zODUwIEdyZWVuIEZhbGxzIERyLCBSZWdpbmEsIFNLIFM0ViAzTTEsIENhbmFkYSIeGhwKFgoUChIJcf1LnB-gHlMRsf_7-bKbFmgSAjJB,subpremise,S4V 3M1,"Unit 2A 3850 Green Falls Drive
Regina, SK",1,OK
31,"2222 13th Ave, Regina, SK S4P 3M7, Canada",50.4456327,-104.612528,"50.4456327,-104.612528",ROOFTOP,ChIJ8w68UD8eHFMR35FaStR-THU,street_address,S4P 3M7,"300 – 2222 13th Avenue Regina, SK",1,OK
32,"1442 Lindsay St, Regina, SK S4N 3B6, Canada",50.4559648,-104.5853163,"50.4559648,-104.5853163",ROOFTOP,ChIJVV1TPrEfHFMRjpQF5F0yvIA,street_address,S4N 3B6,"1442 Lindsay Street Regina, SK",1,OK
33,,,,,,,,,"#101G - 2965 Gordon Rd. Regina, SK",0,INVALID_REQUEST
34,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,street_address,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK
35,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,street_address,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK
36,"4617 Albert St, Regina, SK S4S 6B6, Canada",50.4063616,-104.6170453,"50.4063616,-104.6170453",ROOFTOP,ChIJeQ35_LagHlMRS6VpluJOcEI,street_address,S4S 6B6,"4617 Albert Street Regina, SK",1,OK
37,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,street_address,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK
38,"5P S Plains Rd, Pilot Butte, SK S0G 3Z0, Canada",50.4465247,-104.4182199,"50.4465247,-104.4182199",ROOFTOP,ChIJYfNwegGeHlMR6vBGPxcvUrg,street_address,S0G 3Z0,"5M South Plains Road Emerald Park, SK",1,OK
39,"117 1st Ave E, Rosetown, SK S0L 2V0, Canada",51.55069719999999,-107.9894738,"51.55069719999999,-107.9894738",ROOFTOP,ChIJo9Cc_YruD1MR_s6Ua9BIz18,street_address,S0L 2V0,"117 First Avenue East Rosetown, SK",1,OK
40,"319 Railway Ave, Rosthern, SK S0K 3R0, Canada",52.6646958,-106.3299554,"52.6646958,-106.3299554",RANGE_INTERPOLATED,Ei0zMTkgUmFpbHdheSBBdmUsIFJvc3RoZXJuLCBTSyBTMEsgM1IwLCBDYW5hZGEiGxIZChQKEgnXoAHsRQoEUxGNU4BT7VWn_BC_Ag,street_address,S0K 3R0,"319 Railway Avenue Rosthern, SK",1,OK
41,"3041 Sherman Dr, Prince Albert, SK S6V 7B7, Canada",53.1832636,-105.717454,"53.1832636,-105.717454",ROOFTOP,ChIJz2I3N096AVMR5weN31BGBJU,premise,S6V 7B7,"6 – 3041 Sherman Drive Prince Albert, SK",1,OK
42,"5-1925 1st Ave N, Saskatoon, SK S7K 6W1, Canada",52.1559116,-106.6610878,"52.1559116,-106.6610878",ROOFTOP,ChIJD7HizvP2BFMRsFnIlB7PN1M,street_address,S7K 6W1,"5 – 511 1st Avenue N. Saskatoon, SK",1,OK
43,"2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada",52.101643,-106.6203576,"52.101643,-106.6203576",ROOFTOP,ChIJtZlj2GrxBFMR_7Zhl3aK_LQ,premise,S7J 2G2,"129 – 2325 Preston Avenue
Saskatoon SK",1,OK
44,"2325 Preston Ave S, Saskatoon, SK S7J 2G1, Canada",52.1014474,-106.6203921,"52.1014474,-106.6203921",ROOFTOP,ChIJWalLBgbxBFMR_pZnuvAXmUs,"establishment,point_of_interest,shopping_mall",S7J 2G1,"88 – 2325 Preston Ave. Saskatoon, SK",1,OK
45,"300 Confederation Dr, Saskatoon, SK S7L 4R6, Canada",52.1324092,-106.7211051,"52.1324092,-106.7211051",ROOFTOP,ChIJoxdCUl33BFMRVVy-Uk5WRPc,"establishment,point_of_interest,shopping_mall",S7L 4R6,"61 – 300 Confederation Drive Saskatoon, SK",2,OK
46,"219 Primrose Dr, Saskatoon, SK S7K 7C2, Canada",52.1678755,-106.6338155,"52.1678755,-106.6338155",ROOFTOP,ChIJu8V_F372BFMRrm9clfLHvxk,street_address,S7K 7C2,"219 Primrose Drive Saskatoon, SK",1,OK
47,"209A-2750 Faithfull Ave, Saskatoon, SK S7K 6M6, Canada",52.1723791,-106.6639929,"52.1723791,-106.6639929",ROOFTOP,EjYyMDlBLTI3NTAgRmFpdGhmdWxsIEF2ZSwgU2Fza2F0b29uLCBTSyBTN0sgNk02LCBDYW5hZGEiIBoeChYKFAoSCRPDO4dn9gRTETkJCDRSDtzIEgQyMDlB,subpremise,S7K 6M6,"209A 2750 Faithfull Ave. Saskatoon, SK",1,OK
48,"2105 8 St E, Saskatoon, SK S7H 5N9, Canada",52.1153213,-106.6247452,"52.1153213,-106.6247452",GEOMETRIC_CENTER,ChIJgxC7ikjxBFMRbeInSzF1bTg,premise,S7H 5N9,"17 – 2105 8th Street East Saskatoon, SK",1,OK
49,"1438 Fletcher Rd, Saskatoon, SK S7M 5T2, Canada",52.10780990000001,-106.7111545,"52.10780990000001,-106.7111545",ROOFTOP,ChIJdbqhPKzwBFMR4E3wJpJpGoc,premise,S7M 5T2,"1438 Fletcher Road Saskatoon, SK",1,OK
50,"705 Central Ave #2, Saskatoon, SK S7N 3A4, Canada",52.1362531,-106.597904,"52.1362531,-106.597904",ROOFTOP,ChIJaeIeTQT0BFMREZCofpPkUqM,"establishment,health,physiotherapist,point_of_interest,shoe_store,store",S7N 3A4,11 – 705 Central Ave. Saskatoon SK,1,OK
51,,,,,,,,,"#201 – 3301 8th Street Saskatoon, SK",0,INVALID_REQUEST
52,"140-250 Hunter Rd, Saskatoon, SK S7T 1C9, Canada",52.0850733,-106.6210324,"52.0850733,-106.6210324",ROOFTOP,ChIJB9WlCwnxBFMRFavoeHkArLI,street_address,S7T 1C9,"140 – 250 Hunter Road Saskatoon, SK",1,OK
53,,,,,,,,,"#202 – 3301 8th Street East Saskatoon, SK",0,INVALID_REQUEST
54,"2121-2103 Airport Dr, Saskatoon, SK S7L 6W5, Canada",52.15587,-106.686961,"52.15587,-106.686961",ROOFTOP,ChIJvRoCI_72BFMR65Pt8H0_Kw4,"establishment,point_of_interest",S7L 6W5,"210 – 2103 Airport Drive Saskatoon, SK",1,OK
55,"431 Nelson Rd, Saskatoon, SK S7S 1P2, Canada",52.1505407,-106.5703044,"52.1505407,-106.5703044",ROOFTOP,ChIJ3WC8oGj0BFMRVkQYJb_2bbk,premise,S7S 1P2,"431B Nelson Rd. Saskatoon, SK",1,OK
56,,,,,,,,,"#2 – 1061 Central Ave. N. Swift Current, SK",0,INVALID_REQUEST
57,"11400 Railway Ave E, North Battleford, SK S9A 3P7, Canada",52.7631145,-108.2806426,"52.7631145,-108.2806426",RANGE_INTERPOLATED,EjkxMTQwMCBSYWlsd2F5IEF2ZSBFLCBOb3J0aCBCYXR0bGVmb3JkLCBTSyBTOUEgM1A3LCBDYW5hZGEiGxIZChQKEgnXJ1nhLQQGUxGFt7H4dtalhxCIWQ,street_address,S9A 3P7,"11400 – Unit 23 Railway Ave. E. North Battleford, SK",1,OK
58,"60 18 St, Weyburn, SK S4H 0B8, Canada",49.6585208,-103.828921,"49.6585208,-103.828921",RANGE_INTERPOLATED,Eh02MCAxOCBTdCwgV2V5YnVybiwgU0ssIENhbmFkYSIaEhgKFAoSCXWldNkLDx9TEevCZoytxGXEEDw,street_address,S4H 0B8,"60 18th Street Weyburn, SK",1,OK
59,"201 3rd Ave W, Assiniboia, SK S0H 0B0, Canada",49.6317405,-105.9954217,"49.6317405,-105.9954217",ROOFTOP,ChIJfc-Unw3KGVMRJbLxLJQxlg0,premise,S0H 0B0,"201 3rd Avenue West Assiniboia, SK",1,OK
60,"440 Broadway St E, Yorkton, SK S3N 3Z3, Canada",51.2099462,-102.4350942,"51.2099462,-102.4350942",ROOFTOP,ChIJ1ziMRuet41IR8rEDXmpnl1A,street_address,S3N 3Z3,"440 Broadway Street East Yorkton, SK",1,OK
