,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
20,"241 River Valley Dr, Grand Bay-Westfield, NB E5K 1A7, Canada",45.3041553,-66.1957824,"45.3041553,-66.1957824",ROOFTOP,ChIJWbyalAZMpkwRD5bA3nDGg0I,street_address,E5K 1A7,"241 River Valley Drive Grand Bay-Westfield, New Brunswick E5K 1A7 Canada",1,OK
21,"174 Rue de l'Église, Edmundston, NB E3V 1K2, Canada",47.36228029999999,-68.3320403,"47.36228029999999,-68.3320403",ROOFTOP,ChIJm_oIXieqvUwR_ycLCfQ9-K8,premise,E3V 1K2,"Madawaska Les Lacs-Edmundston 174 rue de L'Église Edmundston, New Brunswick E3V 1K2 Canada",1,OK
22,"131 Main St, Sackville, NB E4L 4B2, Canada",45.9003752,-64.36988210000001,"45.9003752,-64.36988210000001",ROOFTOP,ChIJgfw_yutQX0sRMIgFhU5vGOQ,premise,E4L 4B2,"Memramcook-Tantramar 131 Main Street Sackville, New Brunswick E4L 4B2 Canada",2,OK
23,"635 Water St, Miramichi, NB E1N 1B2, Canada",47.0081971,-65.5393916,"47.0081971,-65.5393916",ROOFTOP,ChIJLSprSLCKoUwRwuKhINyqJqE,premise,E1N 1B2,"Miramichi 635 Water Street Miramichi, New Brunswick E1N 1B2 Canada",1,OK
24,"1 Marina Dr, Miramichi, NB E1V 6S8, Canada",47.0249019,-65.50068430000002,"47.0249019,-65.50068430000002",ROOFTOP,ChIJR6brOzz1oUwRlFD9cZy7H1A,street_address,E1V 6S8,"Miramichi Bay-Neguac 1 Marina Drive Miramichi, New Brunswick E1V 6S8 Canada",1,OK
25,"234 Church St, Moncton, NB E1C 5A5, Canada",46.096137,-64.78034699999999,"46.096137,-64.78034699999999",ROOFTOP,ChIJPQDP1zG5oEwRRiZm_aoJGds,street_address,E1C 5A5,"Moncton Centre 234 Church Street Moncton, New Brunswick E1C 5A5 Canada",1,OK
26,"75 Shediac Rd, Moncton, NB E1A 2R6, Canada",46.1025305,-64.764679,"46.1025305,-64.764679",ROOFTOP,ChIJVyIgmcu-oEwRgstJ-L3zzpU,premise,E1A 2R6,"Moncton East 75 Shediac road Moncton, New Brunswick E1A 2R6 Canada",1,OK
27,"1966 Mountain Rd, Moncton, NB E1G 1A9, Canada",46.1227954,-64.8542082,"46.1227954,-64.8542082",ROOFTOP,ChIJhfuv8LLAoEwRe3iTIIyyOws,premise,E1G 1A9,"Moncton Northwest 1966 Mountain Road Moncton, New Brunswick E1G 1A9 Canada",1,OK
28,"336 St. George St, Moncton, NB E1C 1W8, Canada",46.0901552,-64.7867186,"46.0901552,-64.7867186",RANGE_INTERPOLATED,Ei4zMzYgU3QuIEdlb3JnZSBTdCwgTW9uY3RvbiwgTkIgRTFDIDFXOCwgQ2FuYWRhIhsSGQoUChIJkRCCsCS5oEwRbsZH4WAO_3YQ0AI,street_address,E1C 1W8,"Moncton South 336 St. George Street Moncton, New Brunswick E1C 1X4 Canada",1,OK
29,"555 Edinburgh Dr, Moncton, NB E1E 4E3, Canada",46.0885347,-64.84040519999999,"46.0885347,-64.84040519999999",ROOFTOP,ChIJM8NsRZK4oEwRtNC21JPxkJg,premise,E1E 4E3,"Moncton Southwest 555 Edinburgh Drive Moncton, New Brunswick E1E 4E3 Canada",1,OK
30,"189 Sunbury Dr, Fredericton Junction, NB E5L 1R5, Canada",45.6643554,-66.6171481,"45.6643554,-66.6171481",ROOFTOP,ChIJcb7vJyyHpkwRw3e_QZFChvM,premise,E5L 1R5,"New Maryland-Sunbury 189A Sunbury Drive Fredericton Junction, NB E5L 1R5 Canada",1,OK
31,"261 Restigouche Rd, Oromocto, NB E2V 2H1, Canada",45.8403882,-66.4981817,"45.8403882,-66.4981817",GEOMETRIC_CENTER,ChIJSWoXLBmcpkwRrYxmp1U8ZUc,premise,E2V 2H1,"Oromocto-Lincoln 261 Restigouche Road Oromocto, New Brunswick E2V 2H1 Canada",1,OK
32,"229 Churchill Blvd, Saint John, NB E2K 3E2, Canada",45.286821,-66.0792316,"45.286821,-66.0792316",ROOFTOP,ChIJVX5X-kSzp0wRM_hUht-NQy8,premise,E2K 3E2,"Portland-Simonds 229 Churchill Boulevard Saint John, New Brunswick E2K 3E2 Canada",1,OK
33,"25 William Ct, Quispamsis, NB E2E 4B1, Canada",45.4139737,-65.9485523,"45.4139737,-65.9485523",ROOFTOP,ChIJ08F2EGarp0wRiiz1qjCf3YQ,street_address,E2E 4B1,"Quispamsis 25 William Court Quispamsis, New Brunswick E2E 4B1 Canada",1,OK
