,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
97,"3308 Boulevard Rosemont, Montréal, QC H1X 1K2, Canada",45.5535457,-73.5798834,"45.5535457,-73.5798834",ROOFTOP,ChIJTa7bV1QZyUwRbQhIrsjHjgw,street_address,H1X 1K2,"3308, boulevard Rosemont Montréal (Quebec) H1X 1K2",1,OK
98,"461 Rue du Parc, Saint-Lin - Laurentides, QC J5M 3A2, Canada",45.8517204,-73.753438,"45.8517204,-73.753438",RANGE_INTERPOLATED,Ejw0NjEgUnVlIGR1IFBhcmMsIFNhaW50LUxpbiAtIExhdXJlbnRpZGVzLCBRQyBKNU0gM0EyLCBDYW5hZGEiGxIZChQKEgmLAaRnoM_ITBFZkA2Nh7xdwxDNAw,street_address,J5M 3A2,"461, rue du Parc Saint-Lin-Laurentides (Quebec) J5M 3A2",1,OK
99,"103-170 Avenue Principale, Rouyn-Noranda, QC J9X 4P7, Canada",48.238523,-79.02038639999999,"48.238523,-79.02038639999999",ROOFTOP,EjwxMDMtMTcwIEF2ZW51ZSBQcmluY2lwYWxlLCBSb3V5bi1Ob3JhbmRhLCBRQyBKOVggNFA3LCBDYW5hZGEiHxodChYKFAoSCcHVoq-eMyFNEcFDZDIzUBksEgMxMDM,subpremise,J9X 4P7,"Suite 103 170, avenue Principale Rouyn-Noranda (Quebec) J9X 4P7",1,OK
100,"373 Rue King E Suite 203-A, Sherbrooke, QC J1G 1A8, Canada",45.4080437,-71.8808348,"45.4080437,-71.8808348",ROOFTOP,ChIJswPPfgezt0wRvvwKJofjYsg,subpremise,J1G 1A8,"373, rue King Est 2e étage, suite 203-B Sherbrooke (Quebec) J1G 1B4",1,OK
101,"3269 Rue Saint-Jacques, Montréal, QC H4C 1G8, Canada",45.483014,-73.581135,"45.483014,-73.581135",ROOFTOP,ChIJf9mP0HYayUwRKejNrkpEnS4,street_address,H4C 1G8,"3269, rue Saint-Jacques Montréal (Quebec) H4C 1G8",1,OK
102,"2685 Boulevard Casavant O Bureau 215, Saint-Hyacinthe, QC J2S 8B8, Canada",45.6316924,-72.9696991,"45.6316924,-72.9696991",ROOFTOP,EkkyNjg1IEJvdWxldmFyZCBDYXNhdmFudCBPIEJ1cmVhdSAyMTUsIFNhaW50LUh5YWNpbnRoZSwgUUMgSjJTIDhCOCwgQ2FuYWRhIiYaJAoWChQKEgmpLdSfEU7ITBHEc4dsVGJMuhIKQnVyZWF1IDIxNQ,subpremise,J2S 8B8,"2685, boulevard Casavant Ouest Bureau 215 Saint-Hyacinthe (Quebec) J2S 2B8",1,OK
103,"188 Rue Longueuil, Saint-Jean-sur-Richelieu, QC J3B 6P1, Canada",45.3057058,-73.2549531,"45.3057058,-73.2549531",ROOFTOP,ChIJqbxw6E-iyUwRBE9FDtMahQo,street_address,J3B 6P1,"188, rue Longueuil Saint-Jean-sur-Richelieu (Quebec) J3B 6P1",1,OK
104,"227 Rue Saint Georges Bureau 205, Saint-Jérôme, QC J7Z 5A1, Canada",45.7744566,-74.0025385,"45.7744566,-74.0025385",ROOFTOP,EkQyMjcgUnVlIFNhaW50IEdlb3JnZXMgQnVyZWF1IDIwNSwgU2FpbnQtSsOpcsO0bWUsIFFDIEo3WiA1QTEsIENhbmFkYSImGiQKFgoUChIJ0YuaOqcsz0wR2HaA4M8CQxUSCkJ1cmVhdSAyMDU,subpremise,J7Z 5A1,"227, rue Saint-Georges Bureau 205 Saint-Jérôme (Quebec) J7Z 5A1",1,OK
105,"5255 Boul Henri-Bourassa O #208, Saint-Laurent, QC H4R 2M6, Canada",45.5211313,-73.7106105,"45.5211313,-73.7106105",ROOFTOP,ChIJA5DVyAEYyUwRKUJkPKVaEHs,"establishment,point_of_interest",H4R 2M6,"3e étage 5255, boulevard Henri-Bourassa Ouest Bureau 312 Saint-Laurent (Quebec) H4R 2M6",1,OK
106,"533 Rue Ontario E Bureau 330, Montréal, QC H2L 1N8, Canada",45.517564,-73.5645847,"45.517564,-73.5645847",ROOFTOP,ChIJx6FVYrQbyUwReSOAeyt5UfA,subpremise,H2L 1N8,"533, rue Ontario Est Bureau 330 Montréal (Quebec) H2L 1N8",1,OK
