,0
0,3751.826
1,4159.92
2,3366.07
3,4309.866
4,4259.065
5,4226.474
6,3984.296
7,4259.065
8,4246.307
9,3579.32
10,3894.385
11,4280.35
12,4053.533
13,0.0
14,3928.726
15,3834.737
16,4259.065
17,4218.872
18,3579.32
19,3626.667
20,3005.373
21,3525.868
22,3883.482
23,4259.065
24,4259.065
25,4259.065
26,4259.065
27,0.0
28,4259.065
29,4259.065
30,678.934
31,678.934
32,4259.065
33,3523.718
34,4071.641
35,4251.631
36,678.934
37,4259.065
38,4259.065
39,678.934
