District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1230.828 is NULL**)
Lloydminster,,,,constituency,"2095 50 Avenue Lloydminster, SK",16,"2095 50 Ave, Lloydminster, SK T9V 2W7, Canada",53.2565654,-110.0043273,"53.2565654,-110.0043273",RANGE_INTERPOLATED,Ei0yMDk1IDUwIEF2ZSwgTGxveWRtaW5zdGVyLCBTSyBUOVYgMlc3LCBDYW5hZGEiGxIZChQKEglLVhX4ea0JUxH1KWMCYeYB9xCvEA,T9V 2W7,"2095 50 Avenue Lloydminster, SK",1,OK,2527.391
Lumsden-Morse,,,,constituency,"401 Main Street North Moose Jaw, SK",17,"401 Main St N, Moose Jaw, SK S6H 0W5, Canada",50.394112,-105.534432,"50.394112,-105.534432",ROOFTOP,ChIJCbYDXi_cG1MR6gBo84htMvU,S6H 0W5,"401 Main Street North Moose Jaw, SK",1,OK,1972.422
Martensville-Warman,,,,constituency,"#3 721 Centennial Drive Martensville, SK",18,,,,,,,,"#3 721 Centennial Drive Martensville, SK",0,INVALID_REQUEST,1230.828
Meadow Lake,,,,constituency,"514 1st Avenue West Meadow Lake, SK",19,"514 1 Ave W, Meadow Lake, SK S9X, Canada",54.1332428,-108.4423342,"54.1332428,-108.4423342",RANGE_INTERPOLATED,EiQ1MTQgMSBBdmUgVywgTWVhZG93IExha2UsIFNLLCBDYW5hZGEiGxIZChQKEgnLZN6qwyuoUxHrwa94AiHjhRCCBA,S9X,"514 1st Avenue West Meadow Lake, SK",1,OK,2549.27
Melfort,,,,constituency,"620F Saskatchewan Avenue East Melfort, SK",20,"620 Saskatchewan Ave E, Melfort, SK S0E 1A0, Canada",52.8566071,-104.593821,"52.8566071,-104.593821",RANGE_INTERPOLATED,EjM2MjAgU2Fza2F0Y2hld2FuIEF2ZSBFLCBNZWxmb3J0LCBTSyBTMEUgMUEwLCBDYW5hZGEiGxIZChQKEgkjALGCoRICUxGdyqSjljiw5BDsBA,S0E 1A0,"620F Saskatchewan Avenue East Melfort, SK",1,OK,2264.312
Melville-Saltcoats,,,,constituency,"112 Wells Avenue East Langenburg, SK",21,"112 Wells Ave E, Langenburg, SK S0A 2A0, Canada",50.8414941,-101.7039417,"50.8414941,-101.7039417",RANGE_INTERPOLATED,Ei8xMTIgV2VsbHMgQXZlIEUsIExhbmdlbmJ1cmcsIFNLIFMwQSAyQTAsIENhbmFkYSIaEhgKFAoSCY3ewkVY4-NSEfjjj8CN2chDEHA,S0A 2A0,"112 Wells Avenue East Langenburg, SK",1,OK,2139.295
Moose Jaw North,,,,constituency,"109 Ominica St W Moose Jaw, SK",22,"109 Ominica St W, Moose Jaw, SK S6H 4P4, Canada",50.393171,-105.5378975,"50.393171,-105.5378975",ROOFTOP,ChIJcf5RySXcG1MRnIK5nb_s5J8,S6H 4P4,"109 Ominica St W Moose Jaw, SK",1,OK,1972.525
Moose Jaw Wakamow,,,,constituency,"710 G Main Street North Moose Jaw, SK",23,"710g Main St N, Moose Jaw, SK S6H 3K5, Canada",50.3964242,-105.5362426,"50.3964242,-105.5362426",ROOFTOP,ChIJ9wUu9S_cG1MRV6ZAsxk2Vhk,S6H 3K5,"710 G Main Street North Moose Jaw, SK",1,OK,1972.77
Moosomin,,,,constituency,"506 Ellice Street Moosomin, SK",24,"506 Ellice St, Moosomin, SK S0G 3N0, Canada",50.1483481,-101.6675278,"50.1483481,-101.6675278",RANGE_INTERPOLATED,Eis1MDYgRWxsaWNlIFN0LCBNb29zb21pbiwgU0sgUzBHIDNOMCwgQ2FuYWRhIhsSGQoUChIJIQT8Mhof4VIRbWySJklrvSIQ-gM,S0G 3N0,"506 Ellice Street Moosomin, SK",1,OK,2055.864
Prince Albert Carlton,,,,constituency,"127 – 2995 2nd Avenue West Prince Albert, SK",25,"2995 2 Ave W, Prince Albert, SK S6V 5V5, Canada",53.1864309,-105.7626095,"53.1864309,-105.7626095",GEOMETRIC_CENTER,ChIJedZetu16AVMR1-0cYtgZv6Y,S6V 5V5,"127 – 2995 2nd Avenue West Prince Albert, SK",1,OK,2312.032
